,DepDelayMinutes,ArrDelayMinutes,AirTime,ActualElapsedTime,Distance,Scor_Dimensiune_Zbor,Scor_Intarzieri
46947,0.0,0.0,123.0,138.0,917.0,0.18236841880337076,-0.2571745508245812
46948,9.0,4.0,43.0,65.0,130.0,-1.0101516574066132,-0.16082328293165415
46949,23.0,17.0,43.0,65.0,226.0,-0.9857225906830966,0.10467219783042174
46950,0.0,0.0,46.0,80.0,288.0,-0.9615555072429024,-0.2748008431223694
46951,0.0,0.0,103.0,121.0,861.0,-0.09510548731250368,-0.2301072636028661
46952,0.0,0.0,125.0,155.0,951.0,0.18007479079751995,-0.33456302635010093
46953,0.0,0.0,140.0,167.0,1189.0,0.41784656643992496,-0.31171266049093205
46954,0.0,0.0,45.0,59.0,277.0,-0.9316943346271687,-0.16924987769447866
46955,0.0,0.0,44.0,65.0,252.0,-0.9640047210023444,-0.20831750477117567
46956,0.0,0.0,74.0,95.0,371.0,-0.5528234257080271,-0.2655526869938141
46957,0.0,0.0,82.0,90.0,583.0,-0.388455719873509,-0.1764689069986484
46958,0.0,2.0,117.0,142.0,929.0,0.09225155302462709,-0.25258972151376297
46959,0.0,0.0,116.0,145.0,936.0,0.061905596580999075,-0.30799875239063473
46960,0.0,0.0,121.0,158.0,978.0,0.1157731848398811,-0.3551234027130525
46961,0.0,0.0,34.0,50.0,142.0,-1.099967994352919,-0.1770473347568432
46962,10.0,0.0,77.0,90.0,462.0,-0.5180645676029129,-0.2162638959259378
46963,59.0,44.0,68.0,84.0,395.0,-0.6220338220511304,0.6120262537361572
46964,6.0,0.0,185.0,197.0,1449.0,1.058396533945072,-0.30417245613283916
46965,0.0,0.0,88.0,110.0,600.0,-0.3383909689523173,-0.26281148310103836
46966,0.0,0.0,66.0,80.0,421.0,-0.6351975776272347,-0.19717095967547524
46967,0.0,0.0,84.0,107.0,500.0,-0.40746059144423147,-0.2772642166635008
46968,0.0,0.0,86.0,117.0,562.0,-0.39015481929837603,-0.3122834854384862
46969,82.0,71.0,140.0,163.0,1080.0,0.45007140491553654,1.0310439192074843
46970,0.0,0.0,95.0,158.0,610.0,-0.3363584793827645,-0.4950736472673807
46971,0.0,0.0,126.0,146.0,833.0,0.19864609314993986,-0.3083462215832187
46972,0.0,1.0,218.0,237.0,1706.0,1.5390443650368153,-0.3577215249007914
46973,0.0,0.0,121.0,133.0,843.0,0.15220572425322298,-0.25081853386554215
46974,24.0,53.0,148.0,211.0,874.0,0.5588114242737666,0.42804088873621565
46975,0.0,0.0,129.0,171.0,1068.0,0.2226008760624351,-0.38499193207733956
46976,0.0,0.0,322.0,351.0,2454.0,2.98545607703075,-0.5607993983497299
46977,0.0,0.0,173.0,193.0,1149.0,0.8613362773550983,-0.3720937722221655
46978,22.0,23.0,146.0,173.0,1010.0,0.4999048801077763,0.0727964339854898
46980,0.0,0.0,41.0,66.0,226.0,-1.0160511285923204,-0.22642485085318165
46981,0.0,0.0,62.0,76.0,399.0,-0.6908977813348348,-0.19076662696933347
46983,5.0,3.0,154.0,168.0,1105.0,0.6149680696633956,-0.24171958791121684
46984,11.0,0.0,146.0,168.0,1014.0,0.4437964173409792,-0.33978438995977467
46985,0.0,13.0,35.0,78.0,179.0,-1.0813181026306407,-0.06390913000848565
46986,5.0,5.0,97.0,153.0,746.0,-0.2695674834143691,-0.3416651284559752
46987,0.0,5.0,170.0,201.0,1250.0,0.8350591361138674,-0.3053092625462881
46988,32.0,4.0,212.0,230.0,1943.0,1.3966699766905633,-0.2401591952100548
46989,0.0,0.0,116.0,135.0,788.0,0.06305248503780646,-0.28508229552767567
46990,0.0,0.0,71.0,86.0,530.0,-0.5561601746950225,-0.19412412520091427
